method,tau,fid,cmmd,mean_time_sec_per_image,mean_refinement_fraction,generated_dir
baseline,,348.32834336632556,0.002214789390563965,0.1333392495289445,,results/diffusion/tau_sweep/samples/baseline
global_cyclic,,349.10885264595083,0.00221097469329834,0.15625517442822456,,results/diffusion/tau_sweep/samples/global_cyclic
racd,0.1,349.0918560614693,0.0022112131118774414,0.16152555216103792,0.8173408508300781,results/diffusion/tau_sweep/samples/racd_tau_0p1/racd
racd,0.2,349.0955488148722,0.0022110939025878906,0.15639028791338205,0.5733451843261719,results/diffusion/tau_sweep/samples/racd_tau_0p2/racd
racd,0.3,349.10607062408405,0.0022110939025878906,0.1564810834825039,0.3937187194824219,results/diffusion/tau_sweep/samples/racd_tau_0p3/racd
racd,0.4,349.1363879262958,0.0022112131118774414,0.16199026070535183,0.2574462890625,results/diffusion/tau_sweep/samples/racd_tau_0p4/racd
racd,0.5,349.1300392017473,0.0022112131118774414,0.16209218185395002,0.15493392944335938,results/diffusion/tau_sweep/samples/racd_tau_0p5/racd
racd,0.6,349.1459982040952,0.0022112131118774414,0.1613157382234931,0.08213043212890625,results/diffusion/tau_sweep/samples/racd_tau_0p6/racd
racd,0.7,349.1524339480582,0.0022112131118774414,0.1557210823521018,0.0352630615234375,results/diffusion/tau_sweep/samples/racd_tau_0p7/racd
racd,0.8,349.15784675121654,0.0022112131118774414,0.15897736232727766,0.010406494140625,results/diffusion/tau_sweep/samples/racd_tau_0p8/racd
racd,0.9,349.1610750688507,0.0022112131118774414,0.15617093723267317,0.00098419189453125,results/diffusion/tau_sweep/samples/racd_tau_0p9/racd
