method,tau,fid,cmmd,mean_time_sec_per_image,mean_refinement_fraction,generated_dir
baseline,,184.5504624917056,0.0010093450546264648,0.16423280257731676,,results/diffusion/tau_sweep_s4/samples/baseline
global_cyclic,,183.3184813833524,0.0009821653366088867,0.19836676865816116,,results/diffusion/tau_sweep_s4/samples/global_cyclic
racd,0.1,185.034214482981,0.0009998083114624023,0.20044652931392193,0.683837890625,results/diffusion/tau_sweep_s4/samples/racd_tau_0p1/racd
racd,0.2,184.1244803456206,0.0009911060333251953,0.19997016061097383,0.013385772705078125,results/diffusion/tau_sweep_s4/samples/racd_tau_0p2/racd
racd,0.3,184.22452760948886,0.0009870529174804688,0.20031989458948374,0.000514984130859375,results/diffusion/tau_sweep_s4/samples/racd_tau_0p3/racd
racd,0.4,184.23459090373584,0.0009856224060058594,0.1989681636914611,5.340576171875e-05,results/diffusion/tau_sweep_s4/samples/racd_tau_0p4/racd
racd,0.5,184.19648120615284,0.000985860824584961,0.20058691035956144,0.0,results/diffusion/tau_sweep_s4/samples/racd_tau_0p5/racd
racd,0.6,184.1964811502331,0.000985860824584961,0.20143907610327005,0.0,results/diffusion/tau_sweep_s4/samples/racd_tau_0p6/racd
racd,0.7,184.19648108812703,0.000985860824584961,0.20036491006612778,0.0,results/diffusion/tau_sweep_s4/samples/racd_tau_0p7/racd
racd,0.8,184.19648120615284,0.000985860824584961,0.1999621307477355,0.0,results/diffusion/tau_sweep_s4/samples/racd_tau_0p8/racd
racd,0.9,184.19648120615284,0.000985860824584961,0.20009914506226778,0.0,results/diffusion/tau_sweep_s4/samples/racd_tau_0p9/racd
